types,counts,total_unique,probs
Everette,98,4256,5.0414660583297626e-05
Forest,98,4256,5.0414660583297626e-05
Marlon,98,4256,5.0414660583297626e-05
Raleigh,98,4256,5.0414660583297626e-05
Alva,97,4256,4.990022527122316e-05
Felton,97,4256,4.990022527122316e-05
Randel,97,4256,4.990022527122316e-05
Lacy,96,4256,4.938578995914869e-05
Otha,96,4256,4.938578995914869e-05
Jules,96,4256,4.938578995914869e-05
Houston,96,4256,4.938578995914869e-05
Marcos,95,4256,4.887135464707423e-05
Milo,95,4256,4.887135464707423e-05
Judson,95,4256,4.887135464707423e-05
Lincoln,95,4256,4.887135464707423e-05
Alden,95,4256,4.887135464707423e-05
Deborah,94,4256,4.835691933499976e-05
Lawerence,94,4256,4.835691933499976e-05
Ricki,94,4256,4.835691933499976e-05
Humberto,94,4256,4.835691933499976e-05
Graham,93,4256,4.78424840229253e-05
Jere,93,4256,4.78424840229253e-05
King,93,4256,4.78424840229253e-05
Rod,93,4256,4.78424840229253e-05
Kimberly,92,4256,4.732804871085083e-05
Len,92,4256,4.732804871085083e-05
Tod,92,4256,4.732804871085083e-05
Huey,92,4256,4.732804871085083e-05
Artis,92,4256,4.732804871085083e-05
Rolland,92,4256,4.732804871085083e-05
Mckinley,91,4256,4.6813613398776367e-05
Mose,91,4256,4.6813613398776367e-05
Del,90,4256,4.62991780867019e-05
Emmitt,90,4256,4.62991780867019e-05
Ike,90,4256,4.62991780867019e-05
Jonathon,90,4256,4.62991780867019e-05
Alphonse,89,4256,4.5784742774627436e-05
Avery,89,4256,4.5784742774627436e-05
Dwaine,89,4256,4.5784742774627436e-05
Lauren,89,4256,4.5784742774627436e-05
Sherwood,89,4256,4.5784742774627436e-05
Noe,88,4256,4.527030746255297e-05
Theron,88,4256,4.527030746255297e-05
Cyril,88,4256,4.527030746255297e-05
Cliff,88,4256,4.527030746255297e-05
Augustine,87,4256,4.47558721504785e-05
Erick,87,4256,4.47558721504785e-05
Odis,87,4256,4.47558721504785e-05
Emerson,87,4256,4.47558721504785e-05
Cruz,86,4256,4.424143683840404e-05
Eloy,86,4256,4.424143683840404e-05
Raphael,86,4256,4.424143683840404e-05
